iter	Passed	Remaining
889	4023	497
890	4027	492
891	4032	488
892	4036	483
893	4041	479
894	4045	474
895	4050	470
896	4054	465
897	4059	461
898	4064	456
899	4069	452
900	4073	447
901	4077	443
902	4082	438
903	4086	433
904	4091	429
905	4095	424
906	4100	420
907	4104	415
908	4109	411
909	4114	406
910	4118	402
911	4123	397
912	4128	393
913	4133	388
914	4137	384
915	4142	379
916	4146	375
917	4150	370
918	4155	366
919	4159	361
920	4163	357
921	4167	352
922	4172	348
923	4177	343
924	4180	338
925	4184	334
926	4188	329
927	4193	325
928	4197	320
929	4201	316
930	4206	311
931	4210	307
932	4215	302
933	4219	298
934	4224	293
935	4228	289
936	4233	284
937	4237	280
938	4241	275
939	4245	271
940	4250	266
941	4254	261
942	4259	257
943	4264	252
944	4268	248
945	4272	243
946	4276	239
947	4281	234
948	4285	230
949	4290	225
950	4294	221
951	4299	216
952	4304	212
953	4309	207
954	4313	203
955	4318	198
956	4323	194
957	4327	189
958	4332	185
959	4337	180
960	4341	176
961	4346	171
962	4350	167
963	4355	162
964	4359	158
965	4364	153
966	4368	149
967	4373	144
968	4377	140
969	4381	135
970	4386	130
971	4390	126
972	4394	121
973	4399	117
974	4403	112
975	4408	108
976	4412	103
977	4417	99
978	4421	94
979	4425	90
980	4430	85
981	4434	81
982	4438	76
983	4442	72
984	4447	67
985	4451	63
986	4455	58
987	4460	54
988	4465	49
989	4469	45
990	4473	40
991	4478	36
992	4482	31
993	4486	27
994	4491	22
995	4496	18
996	4500	13
997	4505	9
998	4510	4
999	4514	0
